Date,Open,High,Low,Close,Volume,Company
2023-03-01,125.75,127.20,124.95,126.85,8234500,Apple
2023-03-02,127.10,127.80,125.60,126.15,7892300,Apple
2023-03-03,126.35,126.90,125.05,125.65,6789700,Apple
2023-03-06,125.40,126.25,124.80,125.90,6345200,Apple
2023-03-07,125.75,126.70,125.25,126.10,6012400,Apple
2023-03-08,126.30,127.15,125.65,126.85,6543200,Apple
2023-03-09,127.10,127.90,126.35,127.05,7456800,Apple
2023-03-10,127.20,127.55,126.25,126.60,6789000,Apple
2023-03-13,126.75,127.45,126.20,127.15,5678900,Apple
2023-03-14,127.30,127.95,126.75,127.45,6234500,Apple
2023-03-15,127.60,128.10,127.05,127.85,5789200,Apple
2023-03-16,127.95,128.45,127.40,127.90,6345600,Apple
2023-03-17,127.75,128.60,127.25,128.25,7012300,Apple
2023-03-20,128.40,128.95,127.90,128.55,6789400,Apple
2023-03-21,128.70,129.25,128.15,128.95,6543700,Apple
2023-03-22,129.10,129.55,128.60,129.20,7234600,Apple
2023-03-23,129.35,129.85,128.80,129.40,7892800,Apple
